"","M01.1-V1-stool","M01.1-V2-stool","M01.1-V3-stool","M01.2-V1-stool","M01.2-V2-stool","M01.2-V3-stool","M01.3-V1-stool","M01.3-V2-stool","M01.3-V3-stool","M01.4-V1-stool","M01.4-V2-stool","M01.4-V3-stool","M01.5-V2-stool","M01.5-V3-stool","M02.1-V1-stool","M02.1-V2-stool","M02.1-V3-stool","M02.2-V1-stool","M02.2-V2-stool","M02.2-V3-stool","M02.3-V1-stool","M02.3-V2-stool","M02.3-V3-stool","M02.4-V1-stool","M02.4-V2-stool","M02.4-V3-stool","M02.5-V1-stool","M02.5-V2-stool","M03.1-V2-stool","M03.1-V3-stool","M03.3-V1-stool","M03.3-V2-stool","M03.3-V3-stool","M03.4-V1-stool","M03.4-V2-stool","M03.4-V3-stool","M03.5-V1-stool","M03.5-V2-stool","M04.1-V1-stool","M04.1-V3-stool","M04.2-V1-stool","M04.2-V2-stool","M04.2-V3-stool","M04.3-V1-stool","M04.3-V3-stool","M04.4-V1-stool","M04.4-V3-stool","M04.5-V1-stool","M04.5-V2-stool","M04.5-V3-stool","M04.6-V1-stool","M04.6-V2-stool","M04.6-V3-stool","PRJNA231909.3105829","PRJNA231909.3108874","PRJNA231909.3108875","PRJNA231909.3113669","PRJNA231909.3114784","PRJNA231909.3111969","PRJNA231909.3111970","PRJNA231909.3112924","PRJNA231909.3112925","PRJNA231909.3113339","PRJNA231909.3113393","PRJNA231909.3115615","PRJNA231909.3107345","PRJNA231909.3112358","PRJNA231909.3112359","PRJNA231909.3112360","PRJNA231909.3113831","PRJNA231909.3113834","PRJNA231909.3115067","PRJNA231909.3115068","PRJNA231909.3115070","PRJNA231909.3108330","PRJNA231909.3108332","PRJNA231909.3114542","PRJNA231909.3114545","PRJNA231909.3101436","PRJNA231909.3101439","PRJNA231909.3107649","PRJNA231909.3107651","PRJNA231909.3113065","PRJNA231909.3113068","PRJNA231909.3113996","PRJNA231909.3101335","PRJNA231909.3101336","PRJNA231909.3101338","PRJNA231909.3107526","PRJNA231909.3107527","PRJNA231909.3105875","PRJNA231909.3107978","PRJNA231909.3109940","PRJNA231909.3109945","PRJNA231909.3109952","PRJNA231909.3114865","PRJNA231909.3103734","PRJNA231909.3103736","PRJNA231909.3116468","PRJNA231909.3116471","PRJNA231909.3117624","PRJNA231909.3117627","PRJNA231909.3116456","PRJNA231909.3117245","PRJNA231909.3117247","PRJNA231909.3117249","PRJNA231909.3119726","PRJNA231909.3119727","PRJNA231909.3119729","PRJNA231909.3101140","PRJNA231909.3106384","PRJNA231909.3113111","PRJNA231909.3113114","PRJNA231909.3113118","PRJNA231909.3113627","PRJNA231909.3102732","PRJNA231909.3113933","PRJNA231909.3113936","PRJNA231909.3114810","PRJNA231909.3107373","PRJNA231909.3107376","PRJNA231909.3108601","PRJNA231909.3112363","PRJNA231909.3112365","PRJNA231909.3112367","PRJNA231909.3113765","PRJNA231909.3113767","PRJNA231909.3115315","PRJNA231909.3110086","PRJNA231909.3110090","PRJNA231909.3112419","PRJNA231909.3113044","PRJNA231909.3114201","PRJNA231909.3107859","PRJNA231909.3107861","PRJNA231909.3107883","PRJNA231909.3108096","PRJNA231909.3108098","PRJNA231909.3108100","PRJNA231909.3108103","PRJNA231909.3108105","PRJNA231909.3108107","PRJNA231909.3108363","PRJNA231909.3104913","PRJNA231909.3105378","PRJNA231909.3105379","PRJNA231909.3109753","PRJNA231909.3109755","PRJNA231909.3117378","PRJNA231909.3117380","PRJNA231909.3117383","PRJNA231909.3108485","PRJNA231909.3108488","PRJNA231909.3108490","PRJNA231909.3109997","PRJNA231909.3110006","PRJNA231909.3112121","PRJNA231909.3112122","PRJNA231909.3113663","PRJNA231909.3108437","PRJNA231909.3108440","PRJNA231909.3113604","PRJNA231909.3114755","PRJNA231909.3115643","PRJNA231909.3115644","PRJNA231909.3115646","PRJNA231909.3102986","PRJNA231909.3107336","PRJNA231909.3115087","PRJNA231909.3110226","PRJNA231909.3112348","PRJNA231909.3113035","PRJNA231909.3114185","MH0271","MH0290","MH0336","MH0339","MH0340","MH0346","MH0355","MH0362","MH0364","MH0365","MH0368","MH0369","MH0371","MH0373","MH0374","MH0375","MH0376","MH0377","MH0378","MH0381","MH0384","MH0385","MH0386","MH0387","MH0388","MH0389","MH0390","MH0391","MH0393","MH0395","MH0396","MH0397","MH0399","MH0402","NLF002-IE","NLF009-IE","NLM009-IE","NLM025-IE","NOF002-IE","NOF007-IE","NOF013-IE"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri",9.18944,5.37,0.86791,0.00359,0,0.03183,0,0,0.00288,28.35642,4.88963,58.53007,27.02789,46.88982,0,0,0,0,0,0.03114,0,0,0,0,0,0,0.0252,0,0,0,0,0,0,0,0,0,0,0,58.92616,44.32101,37.28698,29.67867,51.54864,20.07896,61.58307,0,60.0063,0,0.00187,59.28368,40.40887,50.45975,18.34208,0,0,0,0,0,0.0017,0.00233,0.00486,0.00464,0.00371,0.00234,0.0036,0,0,0,0,0,0,0,0,0,0,0,0.00688,0.00216,0.00092,0.00268,0.00844,0.00227,0.00761,0.00353,0.00446,0,0,0,0,0,55.63522,0.00225,0.00176,0.00171,0.00655,0.00477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0.005,0.00292,0.00291,0,0,0,0,0,0,0,0,0,0,0.0144,0.82159,0.00818,42.19319,30.88584,65.77116,21.55136,37.67861,0.00776,0.0087,0.0046,0.0147,0.00353,0.00289,0.00161,0.00191,0,0,0,0,0,0,10.277,0.00587,0.00468,0.00165,0,0,0,0,0,0,0,1.18651,0.00158,0,2.64381,0,0,46.71241,0,0,0,0,9.94694,0,0,0,0.01615,0.00397,32.18718,0.01288,0,0,0,3.60701,2.2883,0,0,0,0,0,0,2.9738,0.02713,0.01626,60.54217,37.52758,0.00778,0.12929,0.02023
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii",8.0054,6.27966,1.67992,0.51011,5.57404,2.7687,0,9.43131,6.84086,0.00144,0,0,6.50554,6.05967,11.8463,3.67125,5.53976,14.78988,8.5297,13.67514,2.86621,3.45986,1.82661,9.09156,7.07725,3.75274,7.54816,7.00633,0.00116,0.00908,0,0,0,0.39589,0,0,0,4.58354,0.00383,0.02414,0,0.01004,0.02091,0,0.6677,10.73568,0.73276,2.09476,0.78179,0.68905,0.01387,0.77271,21.69118,0.43683,0,5.91669,4.06382,8.45116,2.53422,3.93666,2.4594,3.38728,2.12352,0,3.1054,0,0,0,0,0,0,0,0,0,3.87105,13.08361,0,0,0,0,0,0,4.35748,2.05309,0,0,0.33256,0.0622,0,0,1.62597,0,18.82268,9e-04,0,6.52254,0,0,0.40653,0.95641,0.57322,0.47196,0,0,7.20541,2.229,2.89553,3.06472,0.45898,0,2.34673,1.29749,0,0,0,0,0,0.00525,0,0,0,7.42877,1.68137,0,0,5.9741,5.27179,5.18028,0,2.80107,0,0,0,0,0,8.54472,4.44319,4.51826,4.8488,16.44906,0.00455,0.24592,0,0,0,0,0,0,0,0,0,0,0.00092,2.10899,2.42915,0,8.11319,2.2547,0,5.18307,0.26223,0,0,0,2.37926,0.031,0,0,5.12574,4.95296,0,3.80878,2.11918,0,7.69358,0.0697,7.69358,2.5143,0,6.53308,1.7023,5.18912,1.25275,0,15.43826,3.43522,0,3.11224,4.63846,0,5.22766,0,3.227,0.58852,0,0,0,0.00221,2.50882,0,12.72579,0,0,8.74374,0,0.91242,2.96047,0,0,4.64276,4.6919,6.42465,0.00389,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180",7.84355,4.0772,10.10836,0.73828,5.61557,3.263,0,0,0,0.01585,0,0,3.55486,0.73362,6.57896,6.48624,4.09381,30.31988,20.5453,12.1421,10.83418,3.88636,4.82738,0.00365,0.00332,0,1.54826,3.96743,0,0,0,0,0,8.55111,0.01412,0.00763,0,0,0.03187,0.17766,0.00047,1.24306,0.03451,0,0,0.22954,0,0.00081,0.0094,0,0,0.02017,0,0,0,0,0,0,0,0,0,0,0,0,0.44182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19134,0,1.61465,2.26648,0,0,0,0,0,0,0,0,0,0,0.18097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38883,0,0,0,0,0,0,0,0,0,0,0,1.73457,0,0,0.13013,0,0,0,0,0,0,0,0,0,0,0.50214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19974,7.68073,0,0,0,2.45293,0,0,0,0,0,0,6.5715,3.94817,0,0.85428,0,1.59583,1.05205,3.11723,0.10852,0,0,3.23989,0,7.51339,0.99942,0,0,0,0,0,0,0,0,0,0,0,0,8.88139,3.87047,0.96621,0,0,0,0.00053,0.44398,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",6.41955,10.58862,8.55735,2.80546,4.334,4.24509,3.86834,1.65427,4.82238,2.29729,3.74445,1.13722,3.52589,1.9934,4.07809,4.89426,2.35281,0.03769,0.01057,0.01931,4.6216,2.24187,4.42027,2.72745,3.38166,4.75047,0,0,0.01297,0.00445,6.52893,6.11079,5.94631,0.60221,2.15758,0.62344,0,0,0.00772,0.08169,0.00239,0.4947,0.0724,7.03223,2.11422,4.05922,2.51887,5.32779,3.25762,3.17525,0,0,0.12495,0.00607,0,1.30287,0.01114,0.0078,0,0,0,0,0,0,4.54254,0,0,0,0,0,0,0,0,0,0,1.23478,0.00094,0,0,0,0,0,0,0,0,0.13082,0.89809,3.36922,4.99326,8.05468,1.2788,0,0,0,0,0,0,0,0,0,0,6.84259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88824,5.15465,0,0,0,4.7378,0,0,4.06043,8.41887,0,5.3544,3.06356,0,6.27474,0,0,0,0,0,0,2.74245,0,0,0,2.56745,0,0,0,0,0,0.07057,0.66459,0.50932,0,9.64842,3.88353,4.81693,3.21097,1.38321,2.66149,0,0,0,0,0,0,0,0,0,0,0,7.2954,0,0,0,7.29756,2.35211,0.76882,5.9775,5.37897,4.14151,0.83528,3.64985,0.08259,2.65961,1.18323,1.86055,2.80637,6.62644,0,3.24714,0.06033,0.48839,2.54183,0.04421,3.67918,0.52079,2.76809,0,5.78306,0.01728,3.86952,3.18585,0.04716,1.1989,0.0631,0,2.61167,0.01655,0.00962,4.96406,0.03898,0.99615,0,0,0.01409
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",6.2177,4.84622,3.75367,9.2169,2.47775,4.75987,12.17112,20.58064,9.59134,3.80851,9.61775,2.21786,3.44208,2.76643,4.68369,4.30949,4.97214,2.62347,5.86104,4.06111,2.26263,4.05596,4.51773,5.38942,2.77526,4.45752,4.56815,3.00281,12.35187,5.77213,3.80244,3.64576,3.9029,4.22441,5.8304,4.80112,6.38704,6.47684,1.38613,4.61368,5.49937,4.00976,3.8464,5.28063,3.1429,3.86802,2.19237,2.28882,4.42856,2.63903,1.36152,3.46306,3.27504,0,0.00341,21.22675,2.27071,1.02661,8.68901,12.65031,7.81274,5.68342,6.47297,0,7.50943,0,9.77333,3.66976,4.11069,14.61172,10.11531,4.59364,6.08974,7.26229,5.39227,2.3932,0.0134,2.7842,0,7.82797,7.74519,10.95718,8.98267,14.58329,7.79202,0.00455,5.73824,3.48581,6.6207,3.08295,2.60798,0.0117,3.59949,4.91509,7.80079,0.99628,0,2.41066,7.01001,5.67829,11.4098,14.17313,0,19.96341,7.08336,5.67219,8.08252,9.57994,9.14081,0,0,4.43961,8.01426,3.50274,5.19999,5.43373,1.48078,4.42222,7.75202,4.94688,15.10959,8.18441,10.40772,5.00153,9.57789,8.63312,7.25536,14.00452,5.19223,1.37984,7.98012,6.61194,0.00368,6.96317,7.59961,10.3409,7.93557,8.61693,8.05998,1.62039,14.76763,7.79942,4.55053,0.00168,0.00331,0.00572,0.00302,0.70533,1.87428,9.70048,4.44967,0.01088,2.69234,6.23738,2.73751,4.64322,7.5977,4.61256,0.54084,0.55233,6.86744,0,0.00269,12.86389,7.43978,14.2694,0.00563,0,8.57071,8.93642,0,8.49693,1.73508,9.85371,4.63364,1.20573,1.45727,2.82635,11.74149,7.73445,4.45334,10.40294,6.36955,3.53618,5.72251,5.42695,1.36285,4.69798,4.8557,4.88487,16.77091,4.18482,5.77533,4.3345,4.91844,10.75878,3.81045,6.62508,0.16525,5.14696,8.57391,2.83716,7.80351,5.42463,10.46711,4.51093,6.43729,8.59539,12.42438,3.84071,8.30463,2.51783,5.89003,6.51111
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",5.51243,6.76322,7.47681,4.37362,5.28558,2.79998,5.18649,6.29678,5.37619,0.73602,1.32544,0.47757,0.23206,0.44482,3.63828,8.93005,7.67327,0.00414,0.01615,0,27.30943,33.14928,25.94428,3.87573,1.70518,3.97328,14.32082,17.36385,12.73027,12.25173,7.38918,5.59331,4.47368,8.80924,20.66008,4.04518,12.03432,8.24058,0.10202,0.09223,0.64309,3.18547,0.79281,0.74035,1.23221,17.33135,1.71319,7.0742,2.62682,1.63103,4.09245,0.55655,2.46302,3.02192,0,9.69334,4.764,3.96764,12.35639,5.80775,6.36305,9.67779,8.33337,6.89005,16.14862,0.01044,0.01665,0,0,0.002,0,0.00507,0,0,11.50122,2.65215,7.29947,8.42169,0.00023,0.0049,0.00189,0.00845,0.0147,0.00603,0.00985,15.56741,1.61625,3.01791,6.95142,6.88927,0.97843,8.92881,7.71218,9.01684,6.553,11.20421,5.06498,2.05181,3.14954,0.37975,3.20881,3.06749,3.53618,3.26538,3.49764,12.81222,10.72407,10.22263,9.79047,14.52003,37.45268,24.94429,7.6199,31.00086,44.52059,3.89566,23.63174,22.11545,15.58192,10.56165,5.556,18.61649,3.20213,11.66627,12.76755,25.06197,6.84178,4.71362,4.47042,4.83206,6.25681,24.36404,30.63704,0.00728,0.00385,0.00768,0.00193,0.00529,0.00569,0.00141,0.02733,0.03199,0.00361,0.00179,0.06373,31.42526,3.54764,1.99659,0.04597,1.5463,0.94137,0.01444,0.00804,0.71462,6.83817,4.24849,0.75823,3.8374,0.00453,14.95656,22.01761,0.00238,7.37427,32.61476,12.68667,5.43478,0.00695,0.0022,13.24167,0.01204,0.00137,0,0,11.97962,7.97715,0.69553,1.23258,19.61621,17.27399,1.30602,8.83302,6.50941,3.80429,6.87659,8.10559,8.72074,7.08615,0.25936,20.80997,4.86264,5.28401,16.69089,2.09496,2.05089,1.3305,3.46752,7.65944,11.66311,8.35119,6.83434,1.42047,7.64259,6.92803,2.20691,0,5.61871,0.51857,3.58186,13.11222,0.04164,0.38862,26.87201,14.44849,11.01043
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens",4.55566,7.21873,6.8999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86454,2.31265,0,9.01056,1.99977,2.47224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41879,0,0,0,0,0,0,0,0,0,1.90077,0,0,0,0,0,0,0,0,1.38708,0.4641,0,0,0,2.3536,0.64185,0,1.91182,1.21087,0,1.91412,0,0.36151,0,0,0.93988,2.14646,0,0,1.87712,0,1.36793,0,3.2175,0,0,0,0,0,1.64971,1.46028,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",2.93788,5.25135,0.01549,4.98287,6.663,10.1809,0.98021,0.39697,3.58296,1.33512,0.19265,2.82019,4.76285,2.4592,1.27272,0.92781,9.31012,9.52921,4.85401,4.70869,0.50356,0.45365,0.58163,0.01757,0.14528,0.15932,3.03721,0.50292,1.21252,0.51526,0.30356,0.60866,0.55934,0.53873,0.12822,0.56715,3.78013,1.99506,0.95801,3.414,1.51817,0.04266,0.45129,10.13845,0.00596,0.91049,0.0147,2.77823,0.13626,0.0102,0.61774,2.11128,5.32663,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0052,0,0,0.00105,0,0.00272,0,0,0.0667,1.08817,4.09585,1.09591,10.52189,1.7439,0.00264,0.32852,0.04582,0.08793,0.36409,0,0,0,0,0,0,0,0.34785,19.00759,3.67476,1.20331,0.08342,3.7148,0,0,0,0,0,0,0,0.17664,4.80608,1.75094,0,0,0,0.2362,0,0,0,0.42239,0,0.27668,0.18963,0.99299,0.15919,6.98213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.00137,0.8801,3.20435,6.35603,0.09683,3.33882,2.34972,20.87929,12.988,16.61011,4.13998,0,22.4703,0.21654,0,3.77781,4.73605,10.17598,1.20972,0.00105,0,32.07341,5.80319,0,0,0,1.40743,3.26718,1.38979,0.01295,0.03563,7.645,0.03865,0,0.01114,0.70534,3.96636,8.74705,2.38924,0.02198,0.42811,3.7811,3.99291,0.10519,0.17073,6.70304,1.91633,0.033,2.44024,12.91049,0.64627,0,0,0.32952,0.16134,5.71022,1.20823,4.56557,0.01047,0.17181,0,1.78118,0.93718,1.43917,0.00081,0.00704,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",2.54575,2.34352,3.02476,7.07643,5.80223,5.44629,0,0,0,0.00743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64065,0.24753,0.24339,2.01572,0.31448,3.48129,1.69753,0,1.7209,6.60468,2.88777,2.17518,0.58716,1.81496,1.81329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2346,0,0,0,0,0.00045,0,0,12.92562,4.20411,19.03675,17.04672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45643,10.8557,3.17121,5.3788,0,0,0,0,0,0,0,0,0,8.24389,7.64377,2.51643,3.68357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11998,0,0,0,0,0,0,0,0,0,0,0,1.1814,0,0,0.32252,19.25842,0.35584,0,0,2.69286,0,0,0,0,0.68507,0,10.91383,0,0,0,0,0,0.58136,0.72016,0,15.6144,0.88928,0,0,0.29756,0.00319,0,2.68457,0.21431,0.66938,0,29.97307,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena",2.50394,1.60261,3.14775,0.59806,0.33671,0.40544,1.13143,1.47919,0.9204,1.6481,3.70152,1.64361,2.23229,1.55726,0.98656,0.49714,0.55597,1.03253,0.94014,0.79031,0.05887,0.19016,0.15103,2.1776,1.0298,1.75687,0.53744,0.39286,0.57074,0.95102,1.62702,1.16746,1.61223,0,0,0.72058,0.54861,0.19347,1.72254,2.21669,2.50928,2.81285,0.86565,1.20421,0.95287,1.19803,0.99252,1.03813,2.31448,0.89274,1.03592,0.56957,2.88488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47427,0,0,0,0,0,0,1.76564,0,0,0,0,0.6575,0.585,0.40577,0.10018,0,0,0,5.52725,0,0,0,0,0,0.1166,0.02412,0,0,0,0,0.50887,0.70308,0,0,0,0,0,0,0,0,0,0,0.22894,0,0,0,0.80469,0,0,0.39755,0.64263,0,0,1.45781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49104,0,0,0,0,0.16596,0.48548,0.01118,0.70557,0.41954,1.27429,0.55563,0.23131,0.20832,0.18676,0.36685,0,0.78172,0,0.43266,0,0,0.08022,0.22044,0.20723,0.15434,0.27599,0.37858,0.54194,0.40018,0.57137,0.39243,0.19456,0.39058,0.3669,0.92704,0.35771,0.41711,0.27782,0,0.20675,0.19238,0.75368,0.44197,0,0.73931
